Skills
SQL
Python
Tableau
Statistics
Excel
Java
C++
Algorithms
Git
Network Security
Firewalls
Linux
Compliance
TensorFlow
Deep Learning
NLP
HTML
CSS
JavaScript
React
Node.js
AWS
Kubernetes
Docker
DevOps
